comm_id,datetime,content,source,target,x,y,topic,topic_name,content_short
Event_Communication_1,2040-10-01 08:09:00,"Hey The Intern, it's The Lookout! Just spotted a pod of dolphins near the eastern point this morning. They were so playful! If you're free this weekend, the migratory birds are starting to arrive too. Let me know if you want to join for some birdwatching!",The Lookout,The Intern,8.091252,4.609803,6,6_birdwatching_lookout_reef_binoculars,"Hey The Intern, it's The Lookout! Just spotted a pod of dolphins near the eastern point this morning..."
Event_Communication_2,2040-10-01 08:10:00,"Hey The Lookout, The Intern here! I'd absolutely love to join you for birdwatching this weekend! Those dolphins sound amazing. What time were you thinking? I'll bring my new binoculars that Mrs. Money helped me pick out.",The Intern,The Lookout,8.054329,4.5600333,6,6_birdwatching_lookout_reef_binoculars,"Hey The Lookout, The Intern here! I'd absolutely love to join you for birdwatching this weekend! Tho..."
Event_Communication_3,2040-10-01 08:13:00,"Sam, it's Kelly! Let's meet at Sunrise Point at 7 AM for birdwatching. Bring your new binoculars and some water. I've heard there might be some rare shorebirds passing through this weekend. Can't wait!",Kelly,Sam,8.101091,4.5779586,6,6_birdwatching_lookout_reef_binoculars,"Sam, it's Kelly! Let's meet at Sunrise Point at 7 AM for birdwatching. Bring your new binoculars and..."
Event_Communication_5,2040-10-01 08:16:00,"Mrs. Money, it's The Intern. Just checking in to see what tasks you need help with today. Also, I'll be birdwatching with The Lookout this weekend. Should I reschedule if you need me for anything?",The Intern,Mrs. Money,7.820379,4.4960637,6,6_birdwatching_lookout_reef_binoculars,"Mrs. Money, it's The Intern. Just checking in to see what tasks you need help with today. Also, I'll..."
Event_Communication_6,2040-10-01 08:19:00,"Boss, it's Mrs. Money. I've reviewed our operational funding for the upcoming projects. Need to discuss allocation priorities before our meeting with The Middleman next week. Are you available tomorrow afternoon?",Mrs. Money,Boss,5.997087,4.0971675,5,5_funding_council_councils_middleman,"Boss, it's Mrs. Money. I've reviewed our operational funding for the upcoming projects. Need to disc..."
Event_Communication_7,2040-10-01 08:21:00,"Mrs. Money, this is Boss. I'm available tomorrow at 3 PM to discuss funding allocations. Bring the updated projections for our tourism ventures. We need to ensure everything looks legitimate before meeting The Middleman next week.",Boss,Mrs. Money,6.040701,4.0866117,5,5_funding_council_councils_middleman,"Mrs. Money, this is Boss. I'm available tomorrow at 3 PM to discuss funding allocations. Bring the u..."
Event_Communication_8,2040-10-01 08:24:00,"Boss, Mrs. Money here. I'll bring the updated projections for tomorrow at 3PM. I've noted some interesting opportunities near Nemo Reef in our tourism portfolio. Should we discuss allocating additional resources there specifically?",Mrs. Money,Boss,6.146888,4.287602,5,5_funding_council_councils_middleman,"Boss, Mrs. Money here. I'll bring the updated projections for tomorrow at 3PM. I've noted some inter..."
Event_Communication_9,2040-10-01 08:26:00,"Middleman, this is Boss. I'd like to move our meeting forward to discuss some promising opportunities near Nemo Reef. My accountant has identified potential for expansion there. Can you meet earlier than planned?",Boss,The Middleman,6.1137643,4.191007,5,5_funding_council_councils_middleman,"Middleman, this is Boss. I'd like to move our meeting forward to discuss some promising opportunitie..."
Event_Communication_10,2040-10-01 08:29:00,"Boss, this is The Middleman. I can meet earlier as requested. Nemo Reef discussion is timely - I've noted increased interest in that area. Have some council updates that might benefit your expansion plans. When and where?",The Middleman,Boss,6.115816,4.174077,5,5_funding_council_councils_middleman,"Boss, this is The Middleman. I can meet earlier as requested. Nemo Reef discussion is timely - I've ..."
Event_Communication_11,2040-10-01 08:32:00,"Middleman, this is Boss. Let's meet tomorrow at 4PM at the usual spot by the marina. I'll bring the tourism portfolio with Nemo Reef projections. Curious about those council updates that might help our expansion.",Boss,The Middleman,6.1733184,4.2268524,5,5_funding_council_councils_middleman,"Middleman, this is Boss. Let's meet tomorrow at 4PM at the usual spot by the marina. I'll bring the ..."
